Company
"Amazon.com, Inc."
Alphabet Inc.
"Meta Platforms, Inc."
Microsoft Corporation
"Digital Realty Trust, Inc."
China Mobile Limited
"Equinix, Inc."
China Telecom Corporation Limited
NTT Global Data Centers Preparatory Corporation
GDS Holdings Limited
"QTS Realty Trust, LLC"
"MARA Holdings, Inc."
Bitdeer Norway As
"Vantage Data Centers Management Company, LLC"
CyrusOne Inc.
"China United Network Communications Group Co., Ltd."
"Stack Infrastructure, Inc."
Range IDC
"Centrin Data Systems Co., Ltd."
"VNET Group, Inc."
"Core Scientific, Inc."
"Riot Platforms, Inc."
ChinData Group
Alibaba Group Holding Limited
AirTrunk Pte Ltd.
cloudHQ LLC
Atlas Power Data Center
Apple Inc.
"Aligned Data Centers (Phoenix), LLC"
"CleanSpark, Inc."
Tencent Holdings Limited - 騰訊控股有限公司
Genesis Digital Assets Limited
Lancium LLC
Miningstore
Bitfarms Ltd.
"Switch, Inc."
Hut 8 Mining Corp.
GLP Global Ventures Limited
"Beijing Sinnet Technology Co.,Ltd"
"DataBank Holdings, Ltd."
"Shanghai @hub Co.,Ltd."
"Compass Datacenters, LLC"
Global Switch Holdings Limited
HIVE Digital Technologies Ltd.
Hotwon Group
COPT Defense Properties
EdgeConneX Inc.
STT Global Data Centres India Private Limited
KDDI Corporation
CoreSite Realty Corporation
Centersquare
"Iron Mountain Data Centers, LLC"
"CNISP Group Co., Ltd."
"Shanghai Baosight Software Co.,Ltd."
Applied Digital Corporation
Mapletree Industrial Trust
Odata S.A.
NEXTDC Limited
Cipher Mining Inc.
Colt Data Centre Services UK Limited
Sabey Data Center Properties LLC
Sabre56
Standard Power
X.AI LLC
Ascenty Data Centers e Telecomunicações S.A.
Hoyinn Data
Princeton Digital Group (Singapore) Pte. Limited
"Tianjin Tianzhong Jiangtian Heavy Industry Co., Ltd."
"Guangdong Aofei Data Technology Co., Ltd."
Flexential Inc.
Khazna Data Center Limited
"Prime Data Centers, Corp."
Northern Data AG
BitCluster
atNorth ehf
Keppel DC REIT
Blockstream Corporation Inc.
Data4 Group
"Cologix, Inc."
Green Mountain AS
Bridge Data Centres (International) Pte. Ltd.
Edged Energy
Nxtra Data Limited
"Bitfury USA, Inc."
BitStake Mining
Ebang International Holdings Inc.
Novva Data Centers
"Soluna Holdings, Inc."
CDC Data Centres
"Baidu, Inc."
Minto
CtrlS Datacenters Ltd.
Enegix
Crusoe Energy Systems LLC
IREN Limited
VIRTUS Data Centres Ltd.
TeraWulf Inc.
"Blackstone Real Estate Income Trust, Inc."
Bitriver LP
Polaris Technology Inc.
"EdgeCore Internet Real Estate, LLC"
Iadvantage Limited
Scala Data Centers S.A.
"Patrinely Group, LLC"
Fujitsu Limited
PowerHouse Data Centers
"Netrality Property Trust, LLC"
"Shanghai Yovole Networks Co., Ltd."
Merkle Standard LLC
Galaxy Digital Holdings LP
"Bitmain, Inc."
Bohao Internet Data
"MC Digital Realty, Inc."
"Cogent Communications Holdings, Inc."
"Guangzhou Boda Data Technology Co., Ltd."
Echelon Marketing
Glory Data
Hangzhou Iron&Steel Group Company
"Lumen Technologies, Inc."
"T5 Data Centers, LLC"
Yotta Infrastructure Solutions LLP
"CEIcloud Data Storage Technology (Beijing) Co., Ltd."
MYRIG
"Sino-Ocean Capital Co., Ltd."
Meatec
GreenChain Technologies
Phoenix Group Plc
Yondr Group Holdings B.V.
LG Uplus Corp.
Verizon Communications Inc.
Hyperco Data Center Strategies I Topco I Oy
"TierPoint, LLC"
"KT Cloud Co., Ltd."
"Kehua Data Co., Ltd."
TA Realty LLC
The9 Limited
Sify Technologies Limited
"Longrui Industry (Hainan) Co., Ltd."
H5 Data Centers LLC
IDC Frontier Inc.
CICC East China Data Center
"Samsung SDS Co.,Ltd."
Borealis Data Center ehf.
Digi Power X Inc.
AboutBit Inc.
AI TECH FLSAY
Lendlease Group
"Stream Data Centers, L.P."
5C Data Centers
Mawson Infrastructure Group Inc.
Beijing Jinmao Green Building Technology Co. Ltd
"SK Broadband Co., Ltd."
Mining Cluster
Public Joint Stock Company Rostelecom
Future FinTech Group Inc.
Menlo Equities VI LP
"fifteenfortyseven Critical Systems Realty, LLC"
Neo Telemedia Limited
Monterey Mining
Stella
Validus Power Corp.
